50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,block_offensive,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_penalty,goalkeeper_body_part,goalkeeper_shot_saved_to_post,pass_cut_back,shot_deflected,shot_saved_to_post,ball_recovery_offensive,pass_no_touch,pass_straight,shot_redirect
,,,,,,,,,,,,,,,,,,1.345191,,,,,,,,,,28e07622-dd23-4af6-8439-cb9856c545db,17,,,"[26.9, 59.5]",3857276,0,,,,,1.1717907,,Left Foot,,,"[34.7, 78.0]",,Ground Pass,,20.0771,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['54660934-fc77-45b2-ae38-68bac846ecce'],12,,,,,,,,,,,,,,,,,,Morocco,788,00:00:12.122,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.930362,,,,,,,,,,647c74b0-aac7-427e-94c0-67d7f948979a,20,,,"[32.4, 79.2]",3857276,0,,,,,-0.95360494,,Left Foot,,,"[36.8, 73.0]",,Ground Pass,,7.602631,,,,Sofyan Amrabat,5234.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,['f4b4b790-b02d-4d97-84fd-3c2475681994'],15,,,,,,,,,,,,,,,,,,Morocco,788,00:00:15.175,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.859481,,,,,,,,,,54aec35b-3c90-48a7-8e7b-fd4528620f1f,22,,,"[36.8, 73.0]",3857276,0,,,,,0.660009,,Right Foot,,,"[43.5, 78.2]",,Ground Pass,,8.481155,,,,Hakim Ziyech,5237.0,,,,,,1,From Kick Off,Sofyan Amrabat,5234.0,Center Defensive Midfield,2,Morocco,788,['9a6a8ef5-2115-4a36-97a8-271e991b5daf'],16,,,,,,,,,,,,,,,,,,Morocco,788,00:00:16.106,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.25312,,,,,,,,,,86f844fd-44b9-4377-8eae-cd2ab5242d6b,27,,,"[37.3, 78.2]",3857276,0,,,,,2.974491,,Left Foot,,,"[29.0, 79.6]",,Ground Pass,,8.417244,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Hakim Ziyech,5237.0,Right Wing,2,Morocco,788,['e4b844cb-8a85-46bd-8034-df2be5ca159d'],18,,,,,,,,,,,,,,,,,,Morocco,788,00:00:18.477,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.86977,,,,,,,,,,3759dc44-44b2-434f-9527-2242d6492f7e,31,,,"[27.6, 78.0]",3857276,0,,,,,-2.9158762,,Right Foot,,,"[14.1, 74.9]",,Ground Pass,,13.851354,,,,Nayef Aguerd,12149.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,['54eb5268-181a-4c1c-bde2-7dcfa6811a2c'],20,,,,,,,,,,,,,,,,,,Morocco,788,00:00:20.724,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,ca15410f-7411-4948-962c-99e415e1ed5e,34,,,"[14.1, 74.4]",3857276,0,,,,,-1.8638341,,Right Foot,,,"[7.1, 51.2]",,Ground Pass,,24.233036,,,,Yassine Bounou,6785.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['48384111-f664-4994-84e5-ef0aa6fd8476'],22,,,,,,,,,,,,,,,,,,Morocco,788,00:00:22.378,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.148421,,,,,,,,,,3e5db9c7-5032-4254-a85b-81740c588e99,37,,,"[6.6, 47.7]",3857276,0,,,,,-1.4714268,,Left Foot,,,"[9.9, 14.6]",,Ground Pass,,33.264095,,,,Romain Saïss,5219.0,,,,,,1,From Kick Off,Yassine Bounou,6785.0,Goalkeeper,2,Morocco,788,['6b2de501-62a2-4dfc-b595-a4244b3bcd78'],25,,,,,,,,,,,,,,,,,,Morocco,788,00:00:25.065,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.699825,,,,,,,,,,8884ba29-2e18-47ad-9e00-36ec09801f6d,40,,,"[22.7, 7.2]",3857276,0,,,,,-0.035699114,,Left Foot,,,"[92.7, 4.7]",,High Pass,,70.04463,,,,Abdelhamid Sabiri,3634.0,,,,,,1,From Kick Off,Romain Saïss,5219.0,Left Center Back,2,Morocco,788,['0e7c4e29-da3c-41eb-8784-b91cfd79444a'],30,,,,,,,,,,,,,,,,,,Morocco,788,00:00:30.091,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.092497,,,,,,,,,,fc9d942a-a951-43b0-af55-6e7d173071bd,43,,,"[97.9, 4.2]",3857276,0,,,,,2.0665028,,Right Foot,,,"[90.6, 17.7]",,Ground Pass,,15.347313,,,,Sofiane Boufal,3625.0,,,,,,1,From Kick Off,Abdelhamid Sabiri,3634.0,Left Center Midfield,2,Morocco,788,['d8c63994-86f0-4747-aad3-c8b7f67340c1'],37,,,,,,,,,,,,,,,,,,Morocco,788,00:00:37.017,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.650016,,,,,,,,,,26d6a7ca-42eb-45d2-b040-0c726f01a6fa,46,,,"[89.6, 17.7]",3857276,0,,,,,1.4237812,,Right Foot,,,"[98.1, 75.1]",,High Pass,,58.025944,,,,Hakim Ziyech,5237.0,,True,,,,1,From Kick Off,Sofiane Boufal,3625.0,Left Wing,2,Morocco,788,['404db261-766e-4498-8fb2-a446494fca90'],39,,,,,,,,,,,,,,,,,,Morocco,788,00:00:39.608,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.944845,,,,,,,,,,8beafe4f-d282-4fb7-a2cd-6e00dc95160a,49,,,"[100.0, 75.6]",3857276,0,,,,,-2.7115715,,Right Foot,,,"[86.7, 69.5]",,Ground Pass,,14.632156,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Hakim Ziyech,5237.0,Right Wing,2,Morocco,788,['77721ac3-39ad-4aed-9a37-3ce567e9edbc'],45,,,,,,,,,,,,,,,,,,Morocco,788,00:00:45.689,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.869413,,,,,,,,,,5b555d4b-2f48-4339-86a9-7040ad6192e0,52,,,"[87.0, 68.7]",3857276,0,,,,,0.61466295,,Left Foot,,,"[97.2, 75.9]",,Ground Pass,,12.485191,,,,Hakim Ziyech,5237.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,['4921c34f-d67e-4e56-8b3e-fec8623d2969'],47,,,,,,,,,,,,,,,,,,Morocco,788,00:00:47.674,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.913447,,,,,,,,,,187e3b88-85a6-4a14-a10c-2cb5a73def7a,55,,,"[105.9, 70.9]",3857276,0,,,,,-1.315614,,Right Foot,True,,"[111.9, 47.9]",,High Pass,,23.769728,,Incomplete,,Youssef En-Nesyri,6301.0,,,,,,1,From Kick Off,Hakim Ziyech,5237.0,Right Wing,2,Morocco,788,"['46e8af19-5ad8-4c04-a7fe-69f71d40c31e', '7039a2db-9f6d-40af-98f9-771f2f24063a']",50,,,,,,,,,,,,,,,,,,Morocco,788,00:00:50.973,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.79903,,,,,,,,,,577d6c2e-1efd-4dbd-912b-332cc5a64959,61,,,"[104.2, 0.1]",3857276,1,,,,,0.5459853,,,,,"[112.1, 4.9]",,Low Pass,,9.2439165,,,,Sofiane Boufal,3625.0,,,,,Throw-in,1,From Throw In,Noussair Mazraoui,15890.0,Left Back,3,Morocco,788,['b7b31f37-bee9-444e-bf1c-cec9d8a261db'],10,,,,,,,,,,,,,,,,,,Morocco,788,00:01:10.090,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.588474,,,,,,,,,,72b6f545-b8b0-43fe-84c1-1896f30d905f,66,,,"[6.0, 44.0]",3857276,1,,True,,,-1.0882831,,Right Foot,,,"[17.0, 23.0]",,Ground Pass,,23.70654,,,,Kamal Miller,23828.0,,,,,Goal Kick,1,From Goal Kick,Milan Borjan,15958.0,Goalkeeper,4,Canada,1833,['d2b336e5-f708-4ed7-a231-f5d0b51d7829'],28,,,,,,,,,,,,,,,,,,Canada,1833,00:01:28.505,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.758721,,,,,,,,,,e5cdf1a0-28c3-440b-8943-d25733a5e924,68,,,"[17.5, 22.9]",3857276,1,,,,,0.48528925,,Left Foot,,,"[63.2, 47.0]",,High Pass,,51.665268,,Incomplete,,Cyle Larin,16459.0,,,,,,1,From Goal Kick,Kamal Miller,23828.0,Left Center Back,4,Canada,1833,"['6c12de92-6d06-46da-bdb2-3fe0ede357ab', 'c0bd8dbd-a0ca-462e-89aa-729f514b717d']",36,,,,,,,,,,,,,,,,,,Canada,1833,00:01:36.260,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.021214,,,,,,,,,,6c12de92-6d06-46da-bdb2-3fe0ede357ab,70,,,"[56.9, 33.1]",3857276,1,,,,,0.09781766,,Head,,,"[78.3, 35.2]",,High Pass,,21.50279,,,,Youssef En-Nesyri,6301.0,,,,,Recovery,1,Regular Play,Romain Saïss,5219.0,Left Center Back,5,Morocco,788,"['e5cdf1a0-28c3-440b-8943-d25733a5e924', '2e89e948-1c8c-466f-8c04-4ef83cc04e7e']",39,,,,,,,,,,,,,,,,,,Morocco,788,00:01:39.019,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.538828,,,,,,,,,,82421f5a-6591-4767-8550-6d9a710d1a6e,74,,,"[75.2, 34.4]",3857276,1,,,,,2.6981444,,Left Foot,,,"[67.2, 38.2]",,Low Pass,,8.856636,,,,Sofyan Amrabat,5234.0,,,,,,1,Regular Play,Youssef En-Nesyri,6301.0,Center Forward,5,Morocco,788,"['2cb47b8e-cf35-49c0-8e3d-670ad38096a5', 'c94e00e0-e6bb-457f-abc9-cd385171f2dd']",42,,,,,,,,,,,,,,,,,,Morocco,788,00:01:42.010,Pass,True,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.246373,,,,,,,,,,ffe705ec-78a8-443f-a01d-13e83bfdf08d,78,,,"[56.5, 34.9]",3857276,1,,,,,2.6426952,,Right Foot,,,"[40.9, 43.4]",,Ground Pass,,17.765415,,,,Nayef Aguerd,12149.0,,,,,,1,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,5,Morocco,788,"['f15a0edb-6630-4d09-81a7-1bdac417b3fe', 'c01f7174-6f0c-47c6-9437-8229c2eead1b']",44,,,,,,,,,,,,,,,,,,Morocco,788,00:01:44.774,Pass,True,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.719471,,,,,,,,,,cefb52d4-cd8e-4b5c-a8b2-db7a4ae18774,81,,,"[38.8, 44.8]",3857276,1,,,,,1.499969,,Left Foot,,,"[40.9, 74.4]",,Ground Pass,,29.6744,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,Regular Play,Nayef Aguerd,12149.0,Right Center Back,5,Morocco,788,['5986f452-aab2-4108-98aa-ac99dcd87391'],47,,,,,,,,,,,,,,,,,,Morocco,788,00:01:47.051,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.167252,,,,,,,,,,54f4e0f3-9edc-4e01-a994-58e9801846c1,84,,,"[42.3, 76.6]",3857276,1,,,,,0.1372888,,Right Foot,,,"[57.5, 78.7]",,Ground Pass,,15.34438,,,,Hakim Ziyech,5237.0,,,,,,1,Regular Play,Achraf Hakimi Mouh,5245.0,Right Back,5,Morocco,788,['deaec531-d473-431e-87cc-d174102cb0c5'],49,,,,,,,,,,,,,,,,,,Morocco,788,00:01:49.726,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.567809,,,,,,,,,,da5afb4a-b9a7-45e7-8381-a91d8d6df8ef,88,,,"[56.7, 78.0]",3857276,1,,,,,-2.0413167,,Right Foot,,,"[50.8, 66.4]",,Ground Pass,,13.014223,,Incomplete,,,,,,,,,1,Regular Play,Hakim Ziyech,5237.0,Right Wing,5,Morocco,788,['ad028499-5baa-4f29-a498-6f170d8b6948'],53,,,,,,,,,,,,,,,,,,Morocco,788,00:01:53.267,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.402347,,,,,,,,,,ad028499-5baa-4f29-a498-6f170d8b6948,90,,,"[69.3, 13.7]",3857276,1,,,,,1.127931,,Right Foot,,,"[77.6, 31.2]",,Ground Pass,,19.36853,,,,Cyle Larin,16459.0,,,,,Recovery,1,Regular Play,David Junior Hoilett,9922.0,Center Attacking Midfield,6,Canada,1833,"['eb5f6924-ceee-4209-8f44-50c7ddb55124', '3dcdcc69-9bac-4a39-b0a0-99287cb37707', 'da5afb4a-b9a7-45e7-8381-a91d8d6df8ef']",54,,,,,,,,,,,,,,,,,,Canada,1833,00:01:54.835,Pass,True,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.431966,,,,,,,,,,be2d11a3-9bc4-471b-9558-5f92975eea05,93,,,"[77.3, 35.9]",3857276,1,,,,,0.56931317,,Right Foot,,,"[94.8, 47.1]",,Ground Pass,,20.777151,,,,Alphonso Davies,12365.0,,,,,,1,Regular Play,Cyle Larin,16459.0,Center Forward,6,Canada,1833,['e8f4a45b-93f3-4229-a5c0-5e90fe3f8893'],57,,,,,,,,,,,,,,,,,,Canada,1833,00:01:57.516,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.885258,,,,,,,,,,adb7af16-6e6c-4f23-a405-e9488608b93b,97,,,"[103.1, 51.1]",3857276,2,,,,,-2.1362803,473df22f-d159-4416-a5ce-62838698ea12,Left Foot,,,"[96.5, 40.7]",,Ground Pass,,12.317468,,,,Mark Anthony Kaye,16252.0,True,,,,,1,Regular Play,Alphonso Davies,12365.0,Right Midfield,6,Canada,1833,['2aeb026c-2815-4f8d-93b5-970f70e6378c'],4,,,,,,,,,,,,,,,,,,Canada,1833,00:02:04.968,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.89141,,,,,,,,,,ba43b505-3a74-4328-8f07-24245058c1f8,106,,,"[75.1, 42.1]",3857276,2,,,,,0.9944211,,Right Foot,,,"[81.6, 52.1]",,Ground Pass,,11.926861,,,,Alphonso Davies,12365.0,,,,,,1,Regular Play,Steven de Sousa Vitoria,11846.0,Right Center Back,6,Canada,1833,['cdaf4a84-0224-427d-add4-29c1752263ba'],12,,,,,,,,,,,,,,,,,,Canada,1833,00:02:12.469,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.972342,,,,,,,,,,1fed3e64-78ae-4fff-a406-bfdc142ca127,112,,,"[38.3, 23.5]",3857276,2,,,,,-2.4948342,,Right Foot,,,"[33.4, 19.8]",,Ground Pass,,6.140033,,,,Sofiane Boufal,3625.0,,,,,Recovery,1,Regular Play,Abdelhamid Sabiri,3634.0,Left Center Midfield,7,Morocco,788,['5acce3b1-cb0e-48a0-9d24-59f675374149'],15,,,,,,,,,,,,,,,,,,Morocco,788,00:02:15.728,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.773663,,,,,,,,,,37c29c3f-1350-4603-a40e-bf5fc8446f9c,114,,,"[33.4, 19.8]",3857276,2,,,,,-0.46601167,,Right Foot,,,"[50.3, 11.3]",,Ground Pass,,18.917189,,,,Abdelhamid Sabiri,3634.0,,,,,,1,Regular Play,Sofiane Boufal,3625.0,Left Wing,7,Morocco,788,['03380c3f-7b8a-423b-9f3b-6093d97b352d'],16,,,,,,,,,,,,,,,,,,Morocco,788,00:02:16.700,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.956516,,,,,,,,,,1bcc5a66-a134-47ef-a607-6aab66d0d1ae,118,,,"[52.3, 9.2]",3857276,2,,,,,1.0153025,,Right Foot,,,"[57.7, 17.9]",,Ground Pass,,10.239629,,,,Sofiane Boufal,3625.0,,,,,,1,Regular Play,Abdelhamid Sabiri,3634.0,Left Center Midfield,7,Morocco,788,['d7da6f06-e57e-439b-bbd3-adc73d154175'],19,,,,,,,,,,,,,,,,,,Morocco,788,00:02:19.077,Pass,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.686821,,,,,,,,,,98dfb4cb-d40a-4ab6-a5a7-c939ae3d6946,122,,,"[57.7, 17.9]",3857276,2,,,,,-3.113431,,Right Foot,,,"[50.6, 17.7]",,Ground Pass,,7.102816,,,,Abdelhamid Sabiri,3634.0,,,,,,1,Regular Play,Sofiane Boufal,3625.0,Left Wing,7,Morocco,788,['b023f471-bec2-4b3e-a13f-e69707cfaa84'],20,,,,,,,,,,,,,,,,,,Morocco,788,00:02:20.296,Pass,,,,,,,,,,,,,,,
